UI_V2_KEY,UI_ENGLISH_LANGUAGE,UI_SPANISH_LANGUAGE
ACTION_BACK,Back,Volver
ACTION_CANCEL,Cancel,Cancelar
ACTION_DELETE,Delete,Borrar
ACTION_DISCHARGE,Discharge,Dar de alta
ACTION_EDIT,Edit,Actualizar
ACTION_EXPORT_CSV,Export as CSV,Descargar como CSV
ACTION_PRINT,Print,Imprimir
ACTION_SAVE,Save,Guardar
ACTION_SEARCH,Search,Buscar
ACTION_VIEW,View,Ver
ALLERGY_ONE_PER_LINE,One entry per line,Un elemento por línea
APP_NAME,piClinic,piClinic
BP_DIA_PLACEHOLDER,Dia,Diástole
BP_SYS_PLACEHOLDER,Sys,Sístole
CHOOSE,Choose,Seleccione
DASHBOARD_NO_OPEN_VISITS,No patients admitted to the clinic.,No hay pacientes admitidos a la clínica.
DASHBOARD_OPEN_VISITS,Patients admitted to the clinic,Pacientes admitidos a la clínica
DASHBOARD_SEARCH_PLACEHOLDER,Search for a patient,Buscar un paciente
DASHBOARD_TITLE,Dashboard,Página principal
ERROR_ACCESS,You do not have access to that page.,No tiene permiso para ver esa página.
ERROR_GENERIC,There was a problem with the last entry. Check the data and try again.,Hubo un problema con el último cambio. Revisa los datos e intenta de nuevo.
ERROR_NOT_FOUND,The requested record was not found.,No se encontró el registro especificado.
ERROR_REQUIRED_FIELD,A required field was not filled in.,Un campo requerido no tiene datos.
ERROR_SERVER,Server Error - Database not opened.,Error con el servidor. La base de datos no abrió.
ERROR_VALIDATION,There is an incorrect value in the form.,Hay un campo con un error.
HOME_NEIGHBORHOOD_LABEL,Neighborhood,Localidad
ICD_CONDITION_NEW,New diagnosis,Nuevo diagnóstico
ICD_CONDITION_SUBSEQUENT,Subsequent diagnosis,Subsiguiente diagnóstico
ICD_LOADING,Loading...,Cargando...
ICD_SEARCH_LINK,Lookup ICD-10 code,Buscar CIE-10 código
ICD_SEARCH_PLACEHOLDER,ICD-10 code to match,Codigo CIE-10
LANGUAGE_EN,English,Inglés
LANGUAGE_ES,Spanish,Español
LANGUAGE_PROMPT,Show this screen in,Mostrar esta pantalla en
LOADING,Loading...,Cargando...
LOGIN_ERROR,Username or password is not correct.,Usuario o contraseña no está correcto.
LOGIN_PAGE_TITLE,Clinic login,Iniciar sesión
LOGIN_PASSWORD,Password,Contraseña
LOGIN_PASSWORD_PLACEHOLDER,Password,Contraseña
LOGIN_SUBMIT,Login,Iniciar sesión
LOGIN_USERNAME,Username,Usuario
LOGIN_USERNAME_PLACEHOLDER,Username,Usuario
NAV_ADMIN,Admin,Admin
NAV_DASHBOARD,Dashboard,Página principal
NAV_HELP,Help,Ayuda
NAV_PATIENTS,Patients,Pacientes
NAV_REPORTS,Reports,Informes
NEXT_VAX_DATE_INPUT_LABEL,Next vaccination date,Próxima fecha de vacunación
NOT_SPECIFIED,Not specified,No especificado
NO_OPTION,No,No
PATIENT_ADDRESS_LABEL,Home address,Dirección de la casa
PATIENT_ADD_EDIT_ID_LABEL,Patient ID,Identidad del paciente
PATIENT_ADD_NEW,Add a new patient,Agregar un paciente nuevo
PATIENT_ALLERGIES_HEADING,Known allergies,Alergias conocidas
PATIENT_ALT_PHONE_LABEL,Alternate phone,Otro número telefónico
PATIENT_BIRTHDATE_LABEL,Birthdate,Fecha de nacimiento
PATIENT_BLOODTYPE_LABEL,Blood Type,Tipo de Sangre
PATIENT_CANCEL,Cancel,Cancelar
PATIENT_CLINIC_ID_INVALID,Patient ID is not formatted correctly.,Identidad del paciente no es en el formato correcto.
PATIENT_CONTACT_LABEL,Contact info,Información del contacto
PATIENT_CURRENT_MEDICATIONS_LABEL,Current medications,Medicamentos actuales
PATIENT_CURRENT_MEDICATIONS_PLACEHOLDER,"Enter each medication, one per line","Ingrese cada medicamento actual, uno por línea"
PATIENT_CURRENT_VISIT_HEADING,Patient is currently in the clinic,El paciente está en la clínica ahora
PATIENT_DATA_HEAD,Patient data,Datos del paciente
PATIENT_EDIT,Update this patient's info,Actualizar la información del paciente
PATIENT_EDIT_TITLE,Update Patient,Editar Paciente
PATIENT_FAMILYID_PLACEHOLDER,Family ID,ID de la carpeta familiar
PATIENT_FAMILY_ID_INVALID,Family ID is not formatted correctly.,Carpeta (familia) no es en el formato correcto.
PATIENT_FAMILY_ID_LABEL,Family ID,Carpeta (familia)
PATIENT_FIELDS_MISSING,A required field was not filled in.,No se encuentran los datos requeridos del paciente.
PATIENT_FIND_ANOTHER,Search for another patient,Buscar otro paciente
PATIENT_ID_IN_USE,Could not create a new patient record. The patient ID is already assigned.,No se puede crear un expediente del paciente nuevo. El ID del paciente está usado por otro paciente.
PATIENT_ID_LABEL,Patient ID,Identidad del paciente
PATIENT_ID_MISMATCH,Patient ID doesn't match Family ID.,Identidad del paciente no es igual al de la carpeta (familia).
PATIENT_ID_PLACEHOLDER,The patient's clinic ID,El número del paciente
PATIENT_KNOWN_ALLERGIES_LABEL,Known allergies,Alergias conocidas
PATIENT_KNOWN_ALLERGIES_PLACEHOLDER,"Enter each known allergy, one per line","Ingrese cada alergia conocida, una por línea"
PATIENT_LABEL,Patient,Paciente
PATIENT_LAST_VISIT_LABEL,Last visit,Última visita
PATIENT_MARITAL_DIVORCED,Divorced,Divorciado/a
PATIENT_MARITAL_ENGAGED,Engaged,Comprometido/a
PATIENT_MARITAL_LIVINGTOGETHER,Living together (not married),Unión libre
PATIENT_MARITAL_MARRIED,Married,Casado/a
PATIENT_MARITAL_OTHER,Other,Otro
PATIENT_MARITAL_SEPARATED,Separated,Separado/a
PATIENT_MARITAL_SINGLE,Single,Soltero/a
PATIENT_MARITAL_STATUS_LABEL,Marital status,Estado civil
PATIENT_MARITAL_WIDOWED,Widowed,Viudo/a
PATIENT_MEDICATIONS_HEADING,Current medications,Medicamentos actuales
PATIENT_NAMEFIRST_PLACEHOLDER,First name,Primer nombre
PATIENT_NAMELAST2_PLACEHOLDER,Second last name,Segundo apellido
PATIENT_NAMELAST_PLACEHOLDER,Last name,Apellido
PATIENT_NAMEMI_PLACEHOLDER,MI,Inicial
PATIENT_NAME_LABEL,Patient name,Nombre del paciente
PATIENT_NATIONAL_ID_LABEL,National ID,Cédula
PATIENT_NEW_ADDRESS_LABEL,Home address,Dirección de la casa
PATIENT_NEW_BLOODTYPE_LABEL,Blood type,Tipo de Sangre
PATIENT_NEW_CITY_PLACEHOLDER,City,Municipio
PATIENT_NEW_CONTACT_ALT_PHONE_PLACEHOLDER,Alternate phone,Otro número telefónico
PATIENT_NEW_CONTACT_LABEL,Contact info,Información del contacto
PATIENT_NEW_CONTACT_PHONE_PLACEHOLDER,Primary phone,Primer número telefónico
PATIENT_NEW_COUNTY_PLACEHOLDER,County,Condado
PATIENT_NEW_HOMEADDRESS1_PLACEHOLDER,Address,Dirección
PATIENT_NEW_HOMEADDRESS2_PLACEHOLDER,Additional address info,Dirección adicional
PATIENT_NEW_ORGAN_DONOR_LABEL,Organ donor?,¿Donante de órganos?
PATIENT_NEW_STATE_PLACEHOLDER,State,Departamento
PATIENT_NEW_TITLE,New Patient,Nuevo Paciente
PATIENT_NOT_FOUND,The specified patient was not found.,No se encontró el paciente especificado.
PATIENT_NO_ALLERGIES,No known allergies,Sin alergias conocidas
PATIENT_NO_MEDICATIONS,No medications on file,No hay medicamentos en el archivo
PATIENT_NO_PRIOR_VISITS,No previous admission records,No hay archivos de admisiones anteriores
PATIENT_OPEN_VISIT,Admit this patient to the clinic,Abra una visita nueva para este paciente
PATIENT_ORGAN_DONOR_LABEL,Organ Donor,Donante de órganos
PATIENT_PERSONAL_LABEL,Personal info,Información personal
PATIENT_PHONE_LABEL,Primary phone,Primer número telefónico
PATIENT_PREFERRED_LANGUAGE_LABEL,Preferred language,Idioma preferido
PATIENT_PROFESSION_LABEL,Profession,Profesión
PATIENT_RESET_FORM,Clear fields and start over,Borrar todo y empezar de nuevo
PATIENT_RESET_SEARCH,Start a new search,Buscar de nuevo
PATIENT_RESPONSIBLE_PARTY_LABEL,Responsible Person,Encargado/a
PATIENT_SEARCH_FOUND,Found these patients. Select one to view their info.,Se encontraron estos pacientes. Haga clic para ver los detalles.
PATIENT_SEARCH_HEADING,Find patient,Buscar paciente
PATIENT_SEARCH_ID_LABEL,"Patient, Visit, or Family ID","Número del paciente, visita, o familia"
PATIENT_SEARCH_NAMEFIRST_PLACEHOLDER,First name,Primer nombre
PATIENT_SEARCH_NAMELAST2_PLACEHOLDER,Second last name,Segundo apellido
PATIENT_SEARCH_NAMELAST_PLACEHOLDER,First last name,Apellido
PATIENT_SEARCH_NAMEMI_PLACEHOLDER,MI,Inicial
PATIENT_SEARCH_NAME_LABEL,Patient name,Nombre del paciente
PATIENT_SEARCH_NOT_FOUND,No matching patients found. Retry your search or add a new patient.,No hay pacientes con este ID o nombre. Buscar de nuevo o agregar un paciente nuevo.
PATIENT_SEARCH_RESULTS_HEADING,Matching patients found,Pacientes encontrados
PATIENT_SEARCH_SUBMIT,Show matching patients,Mostrar los pacientes que coincidan
PATIENT_SEARCH_TITLE,Patient Search,Buscar Paciente
PATIENT_SEX_F,F,M
PATIENT_SEX_LABEL,Sex (M/F),Sexo (H/M)
PATIENT_SEX_M,M,H
PATIENT_SEX_X,X,X
PATIENT_SUBMIT_EDIT,Update patient info,Actualizar información del paciente
